Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,max_ratio_absG_over_abslam,y_at_max_ratio,min_abs_Fk_on_boundary,y_at_min_abs_Fk
0.25,0.16,3,0.14683284789843098,5.215508126933424,0.0,0.265356036530744,0.55
0.25,0.16,4,0.14683284789843098,7.86810812498237,0.0,0.3309869726734597,0.775
0.25,0.16,5,0.14683284789843098,10.513630514854517,0.0,0.400769040485087,0.9750000000000001
0.25,0.16,6,0.14683284789843098,12.999427263471155,0.0,0.47445550930896196,1.175
0.25,0.16,7,0.14683284789843098,15.271122638413608,0.0,0.5493674917954706,1.4000000000000001
0.25,0.16,8,0.14683284789843098,17.335282991713186,0.0,0.6242709750613846,1.625
0.25,0.16,9,0.14683284789843098,19.225625578154744,0.0,0.697935062254708,1.85
0.25,0.16,10,0.14683284789843098,20.982408458882382,0.0,0.7699499856153402,2.075
0.25,0.16,11,0.14683284789843098,22.642750693618495,0.0,0.8403031030209931,2.3000000000000003
0.25,0.16,12,0.14683284789843098,24.237313029672002,0.0,0.9091440414168008,2.5250000000000004
0.25,0.16999999999999998,3,0.1426118025016259,5.2678576247802535,0.0,0.2737294890825608,0.55
0.25,0.16999999999999998,4,0.1426118025016259,7.984589588188097,0.0,0.33921421548877734,0.775
0.25,0.16999999999999998,5,0.1426118025016259,10.712013811748637,0.0,0.4089478561713077,0.9750000000000001
0.25,0.16999999999999998,6,0.1426118025016259,13.285734381961046,0.0,0.48267191500224854,1.175
0.25,0.16999999999999998,7,0.1426118025016259,15.642594744917552,0.0,0.5577003761437948,1.4000000000000001
0.25,0.16999999999999998,8,0.1426118025016259,17.784877120432853,0.0,0.632788294233428,1.625
0.25,0.16999999999999998,9,0.1426118025016259,19.74533619378987,0.0,0.7066602904201882,1.85
0.25,0.16999999999999998,10,0.1426118025016259,21.56499573348808,0.0,0.778881204972935,2.075
0.25,0.16999999999999998,11,0.1426118025016259,23.282363660000957,0.0,0.8494272392412713,2.3000000000000003
0.25,0.16999999999999998,12,0.1426118025016259,24.92953838566813,0.0,0.918444989021285,2.5250000000000004
0.25,0.18,3,0.13855468553620018,5.319521782620862,0.0,0.2819562440887934,0.55
0.25,0.18,4,0.13855468553620018,8.100696854026205,0.0,0.34728002393266744,0.775
0.25,0.18,5,0.13855468553620018,10.9114028198937,0.0,0.4169370963724557,0.9750000000000001
0.25,0.18,6,0.13855468553620018,13.575274872132143,0.0,0.49068053364936187,1.175
0.25,0.18,7,0.13855468553620018,16.01986001257559,0.0,0.565817724643608,1.4000000000000001
0.25,0.18,8,0.13855468553620018,18.242727577940624,0.0,0.6410873295342261,1.625
0.25,0.18,9,0.13855468553620018,20.275450714312377,0.0,0.7151663882015054,1.85
0.25,0.18,10,0.13855468553620018,22.15976559182237,0.0,0.7875927413405207,2.075
0.25,0.18,11,0.13855468553620018,23.935603680314767,0.0,0.8583307485257433,2.3000000000000003
0.25,0.18,12,0.13855468553620018,25.63656766761474,0.0,0.9275237916110192,2.5250000000000004
0.25,0.19,3,0.13465257445970313,5.3704652722185635,0.0,0.29004895142470905,0.55
0.25,0.19,4,0.13465257445970313,8.216337563247281,0.0,0.35519907822303703,0.775
0.25,0.19,5,0.13465257445970313,11.11167029415469,0.0,0.42475174937363186,0.9750000000000001
0.25,0.19,6,0.13465257445970313,13.867944172959918,0.0,0.49849624283739286,1.175
0.25,0.19,7,0.13465257445970313,16.402888073068254,0.0,0.5737341706010847,1.4000000000000001
0.25,0.19,8,0.13465257445970313,18.708902307792776,0.0,0.6491827088573825,1.625
0.25,0.19,9,0.13465257445970313,20.81613509468155,0.0,0.7234681635609863,1.85
0.25,0.19,10,0.13465257445970313,22.766968443282046,0.0,0.796099686476871,2.075
0.25,0.19,11,0.13465257445970313,24.60278799884691,0.0,0.8670290485581258,2.3000000000000003
0.25,0.19,12,0.13465257445970313,26.358768331365244,0.0,0.9363961980038689,2.5250000000000004
0.25,0.2,3,0.1308972792930903,5.420654784475838,0.0,0.298018855900123,0.55
0.25,0.2,4,0.1308972792930903,8.331419611892098,0.0,0.36298477185547434,0.775
0.25,0.2,5,0.1308972792930903,11.312683601834463,0.0,0.4324054858116172,0.9750000000000001
0.25,0.2,6,0.1308972792930903,14.163626295568035,0.0,0.5061325727566681,1.175
0.25,0.2,7,0.1308972792930903,16.79163378711894,0.0,0.581462987189935,1.4000000000000001
0.25,0.2,8,0.1308972792930903,19.18345412038257,0.0,0.6570876838378616,1.625
0.25,0.2,9,0.1308972792930903,21.367541522775905,0.0,0.7315790294834783,1.85
0.25,0.2,10,0.1308972792930903,23.38684275901488,0.0,0.8044157174249619,2.075
0.25,0.2,11,0.1308972792930903,25.28422346778482,0.0,0.8755361223528882,2.3000000000000003
0.25,0.2,12,0.1308972792930903,27.096498417170547,0.0,0.9450765024812312,2.5250000000000004
0.25,0.21000000000000002,3,0.12728125562848666,5.470058991023669,0.0,0.30587596025465635,0.55
0.25,0.21000000000000002,4,0.12728125562848666,8.445851362782117,0.0,0.3706493711689159,0.775
0.25,0.21000000000000002,5,0.12728125562848666,11.514305084737083,0.0,0.4399108250602284,0.9750000000000001
