k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,n_y_used,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
61,0.2800000000000001,0.2900000000000001,0.08000000000000002,0.09000000000000001,0.27297703708720644,18.522316269840577,0.6600000000000004,19.182316269840577,801,1.0122666974923447,0.9882888021550431,0.6600000000000004,0.6600000000000004,-16.017234085316883,0.6100000000000003,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.09000000000000001,0.1,0.2812075871335372,18.71219121321714,0.6600000000000004,19.37219121321714,801,1.0055258790960864,0.9813106400795644,0.6600000000000004,0.6600000000000004,16.030488228937184,0.6100000000000003,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.1,0.11000000000000001,0.2858638502555518,18.919836151510417,0.6600000000000008,19.579836151510417,801,1.0016948155015613,0.9772200203121735,0.6600000000000008,0.6600000000000008,16.006516053859766,0.6100000000000008,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.11000000000000001,0.12000000000000001,0.2638768902510054,19.14467288829976,0.6600000000000004,19.80467288829976,801,1.0216953328450824,0.9969394917347074,0.6600000000000004,0.6600000000000004,-15.992273357302055,0.6100000000000003,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.05,0.060000000000000005,0.25731889823857573,18.662411419749624,0.6600000000000006,19.322411419749624,801,1.047638492422831,1.0234854781481446,0.6600000000000006,0.6600000000000006,-16.61727382098468,0.6100000000000005,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.060000000000000005,0.07,0.26080982614687237,18.791564596914235,0.6600000000000006,19.451564596914235,801,1.0447376984010353,1.0204232426548918,0.6600000000000006,0.6600000000000006,-16.582458818869384,0.6100000000000005,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.07,0.08000000000000002,0.2651927579729801,18.93949312943727,0.6600000000000008,19.59949312943727,801,1.0411558121672484,1.016656445755451,0.6600000000000008,0.6600000000000008,16.610570427198084,0.6100000000000008,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.08000000000000002,0.09000000000000001,0.2706589685864939,19.10576091130633,0.6600000000000004,19.76576091130633,801,1.036619265744766,1.0119120646056328,0.6600000000000004,0.6600000000000004,16.603239165497314,0.6100000000000003,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.09000000000000001,0.1,0.27750598991927433,19.289893727027128,0.6600000000000004,19.949893727027128,801,1.0309883929533918,1.0060510257946071,0.6600000000000004,0.6600000000000004,16.608286527750085,0.6100000000000003,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.1,0.11000000000000001,0.2862158898174506,19.49138527657798,0.6600000000000008,20.15138527657798,809,1.023741526690293,0.9988016934272008,0.6600000000000008,0.6600000000000008,-16.60992895321898,0.6100000000000008,0.050000000000000044,True
61,0.2900000000000001,0.3000000000000001,0.11000000000000001,0.12000000000000001,0.28899016336989897,19.709703194112286,0.6600000000000004,20.369703194112287,817,1.0219037121996741,0.9969408406382623,0.6600000000000004,0.6600000000000004,-16.575346716777645,0.6100000000000003,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.05,0.060000000000000005,0.2567941827173406,19.260937152693288,0.6600000000000006,19.920937152693288,801,1.069903205407643,1.0450020339667763,0.6600000000000006,0.6600000000000006,17.18180829419796,0.6100000000000005,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.060000000000000005,0.07,0.2599876407222379,19.386103270126277,0.6600000000000006,20.046103270126277,803,1.0673739691604016,1.0423788279258304,0.6600000000000006,0.6600000000000006,17.196657169385137,0.6100000000000005,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.07,0.08000000000000002,0.2639472650276006,19.529528924170187,0.6600000000000008,20.189528924170187,809,1.0641425816369445,1.0391555408892093,0.6600000000000008,0.6600000000000008,-17.191084034441943,0.6100000000000008,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.08000000000000002,0.09000000000000001,0.2687979941811272,19.690815117714166,0.6600000000000004,20.350815117714166,817,1.0603647785393338,1.035425054130371,0.6600000000000004,0.6600000000000004,-17.20840984218477,0.6100000000000003,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.09000000000000001,0.1,0.2747172778390305,19.86952691938086,0.6600000000000004,20.52952691938086,823,1.0553515273339749,1.0303764337580852,0.6600000000000004,0.6600000000000004,17.182864380211722,0.6100000000000003,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.1,0.11000000000000001,0.2819582458305533,20.06519872814622,0.6600000000000008,20.72519872814622,831,1.0494007731971802,1.0244306542476067,0.6600000000000008,0.6600000000000008,-17.179441837306747,0.6100000000000008,0.050000000000000044,True
61,0.3000000000000001,0.3100000000000001,0.11000000000000001,0.12000000000000001,0.28995353357695,20.27733956908552,0.6600000000000004,20.93733956908552,839,1.042805443045326,1.0178205509581113,0.6600000000000004,0.6600000000000004,17.189605756003385,0.6100000000000003,0.050000000000000044,True
61,0.3100000000000001,0.3200000000000001,0.05,0.060000000000000005,0.2563304028825375,19.860161127241668,0.6600000000000006,20.520161127241668,823,1.0918912690659475,1.0669275693977702,0.6600000000000006,0.6600000000000006,17.77415416374217,0.6100000000000005,0.050000000000000044,True
