side,offset,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
2,0.00512,0.2648649999999999,0.0768327986558154,crosses_boundary,False,,,,,,
1,0.00256,0.26487,0.0845253082853183,certified_box,True,0.03909743186855495,0.26038848886479204,0.5954999999999999,0.039941122123816515,0.03981737051868333,0.0008436902552615617
2,0.00256,0.26487,0.07940530828531829,certified_box,True,0.02215122624572115,0.2801090498779219,0.5954999999999999,0.022981474348391852,0.022978940061248742,0.0008302481026707004
1,0.00512,0.26487,0.0870853082853183,certified_box,True,0.04703074598807279,0.25120934339321555,0.5954999999999999,0.04786758367402304,0.04778178494880039,0.0008368376859502472
2,0.00512,0.26487,0.0768453082853183,crosses_boundary,False,,,,,,
1,0.00256,0.2648749999999999,0.08453781569976351,certified_box,True,0.039092859556417295,0.26039695174958716,0.5954999999999999,0.03993654725095175,0.03981281558839561,0.0008436876945344557
2,0.00256,0.2648749999999999,0.0794178156997635,certified_box,True,0.022151246462045734,0.2801120062137283,0.5954999999999999,0.022981494544689,0.022978947993660914,0.0008302480826432649
1,0.00512,0.2648749999999999,0.0870978156997635,certified_box,True,0.047026878509978505,0.25121697168385065,0.5954999999999999,0.04786371540291429,0.04777792829648,0.0008368368929357881
2,0.00512,0.2648749999999999,0.07685781569976351,crosses_boundary,False,,,,,,
1,0.00256,0.26488,0.08455032089915121,certified_box,True,0.03908829277294421,0.2604054124965447,0.5954999999999999,0.03993197790395178,0.03980826177180912,0.0008436851310075667
2,0.00256,0.26488,0.0794303208991512,certified_box,True,0.02215127323368834,0.2801149623528452,0.5954999999999999,0.022981521296302973,0.022978962482462086,0.0008302480626146336
1,0.00512,0.26488,0.0871103208991512,certified_box,True,0.047023014948579675,0.2512245990053471,0.5954999999999999,0.047859851047927435,0.04777407557079517,0.00083683609934776
2,0.00512,0.26488,0.0768703208991512,crosses_boundary,False,,,,,,
1,0.00256,0.264885,0.0845628238845989,certified_box,True,0.03908373151947977,0.26041387110540987,0.5954999999999999,0.03992741408416464,0.03980369209024034,0.0008436825646848749
2,0.00256,0.264885,0.07944282388459889,certified_box,True,0.022151306560406196,0.28011791829530175,0.5954999999999999,0.022981554602990898,0.022978983527420192,0.0008302480425847032
1,0.00512,0.264885,0.0871228238845989,certified_box,True,0.047019155304885166,0.2512322253572792,0.5954999999999999,0.04785599061007227,0.047770226772752236,0.0008368353051871093
2,0.00512,0.264885,0.0768828238845989,crosses_boundary,False,,,,,,
1,0.00256,0.2648899999999999,0.08457532465834171,certified_box,True,0.039079175801624864,0.26042232757097705,0.5954999999999999,0.039922855797188704,0.03979912796362521,0.0008436799955638366
2,0.00256,0.2648899999999999,0.0794553246583417,certified_box,True,0.022151346441860106,0.28012087404134156,0.5954999999999999,0.022981594464413797,0.022978986048602695,0.0008302480225536916
1,0.00512,0.2648899999999999,0.0871353246583417,certified_box,True,0.04701529958280734,0.2512398507358815,0.5954999999999999,0.04785213409325947,0.047766381906272,0.0008368345104521278
2,0.00512,0.2648899999999999,0.0768953246583417,crosses_boundary,False,,,,,,
1,0.00256,0.264895,0.08458782322037961,certified_box,True,0.0390746256164589,0.26043078189794794,0.5954999999999999,0.03991830304011321,0.03979456938902136,0.0008436774236543098
