Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_gap3,Ymax,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed,depth
0.21,0.2125,0.06,0.0625,0.21125,0.06125,0.28833569604354636,13.414311387469727,0.020816515703657477,-0.6148226052590307,0.01558929641144613,0.005227219292211347,True,2
0.21,0.2125,0.0625,0.065,0.21125,0.06375,0.2886333539085247,13.415024226590125,0.02072020955578364,-0.6148552770520492,0.015589593427745685,0.005130616128037956,True,2
0.2125,0.215,0.06,0.0625,0.21375,0.06125,0.2890445040565887,13.416701345710875,0.021321633137678275,0.6261127294665076,0.015590292227379843,0.005731340910298432,True,2
0.2125,0.215,0.0625,0.065,0.21375,0.06375,0.2893354046208171,13.417414057857796,0.021222651299945564,0.6261459893666963,0.015590589190774162,0.005632062109171401,True,2
0.21,0.2125,0.065,0.0675,0.21125,0.06625,0.28894329706173566,13.415764980052387,0.020620013225716213,0.6148892282524017,0.015589902075021422,0.00503011115069479,True,2
0.21,0.2125,0.0675,0.07,0.21125,0.06875,0.28926553954030443,13.41653364323289,0.020515952348690518,0.6149244586481757,0.015590222351346883,0.004925729997343635,True,2
0.2125,0.215,0.065,0.0675,0.21375,0.06625,0.28963829576320677,13.418154679388667,0.02111961045689279,0.6261805517048042,0.015590897783078761,0.0055287126738140305,True,2
0.2125,0.215,0.0675,0.07,0.21375,0.06875,0.289953189390757,13.41892320568234,0.021012527173320625,0.6262164162651764,0.015591218002368068,0.005421309170952557,True,2
0.215,0.2175,0.06,0.0625,0.21625,0.06125,0.28976328083243236,13.419118823529361,0.021999304334325682,0.6374081441176447,0.015591299509803536,0.006408004824522147,True,2
0.215,0.2175,0.0625,0.065,0.21625,0.06375,0.2900476885642468,13.419831407286754,0.021898746071306714,0.6374419918461207,0.015591596419702869,0.006307149651603845,True,2
