Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.251,0.123,3,0.1661603709069648,0.11835859280323843,0.555,0.3669267161077007,0.505,0.021591940289791087,0.02032656192708462
0.251,0.124,3,0.1656418047250684,0.11889919785127588,0.555,0.36896937540103397,0.5045000000000001,0.021592340461804044,0.02031737965996742
0.251,0.125,3,0.16512568929281748,0.11943834540950649,0.5555,0.3710102492410918,0.504,0.0215927314292091,0.020308199125482852
0.251,0.126,3,0.16461200320134906,0.1199760506907193,0.5555,0.3730493683026055,0.5035000000000001,0.021593113098969514,0.020299020238144564
0.251,0.127,3,0.1641007254265412,0.12051237738990873,0.5555,0.37508672847112035,0.5025000000000001,0.021593485379804083,0.02028984291441363
0.251,0.128,3,0.1635918353172298,0.12104734128283792,0.5555,0.3771222483993995,0.502,0.02159384818213317,0.020280667072641048
0.251,0.129,3,0.1630853125839324,0.12158095785633126,0.5555,0.3791560851531954,0.5015000000000001,0.021594201418027033,0.020271492633012592
0.251,0.13,3,0.1625811372880488,0.12211324231715087,0.5555,0.38118826703084724,0.501,0.021594545001156425,0.020262319517495967
0.251,0.131,3,0.16207928983151343,0.12264420960049416,0.5555,0.38321882174112165,0.5005000000000001,0.021594878846745283,0.02025314764979015
0.251,0.132,3,0.16157975094687355,0.12317387437813895,0.5555,0.38524777642235236,0.5,0.021595202871525408,0.020243976955276695
0.251,0.133,3,0.1610825016877803,0.1237022510662427,0.5555,0.3872751576607016,0.4995,0.021595516993693113,0.020234807360973116
0.251,0.134,3,0.16058752341985563,0.12422935383282965,0.5555,0.3893009915076422,0.499,0.021595821132867562,0.02022563879548798
0.251,0.135,3,0.1600947978119322,0.12475519660496699,0.5555,0.39132530349665146,0.4985,0.021596115210050903,0.020216471188977833
0.251,0.136,3,0.1596043068276381,0.12527979307565273,0.5555,0.3933481186591829,0.498,0.02159639914758999,0.020207304473105765
0.251,0.137,3,0.1591160327173082,0.12580315671043343,0.5555,0.39536934794088857,0.497,0.021596672869139612,0.02019813858100155
0.251,0.138,3,0.15862995801021332,0.12632530075375745,0.5555,0.3973888835100682,0.4965,0.021596936299627244,0.020188973447223316
0.251,0.139,3,0.1581460655070854,0.12684615667465615,0.556,0.3994069798309665,0.496,0.021597189365219146,0.02017980900772062
0.251,0.14,3,0.15766433827292545,0.12736579730480946,0.556,0.4014236602091398,0.4955,0.02159743199328778,0.02017064519979889
0.251,0.14100000000000001,3,0.15718475963008288,0.12788425675845877,0.556,0.4034389475154345,0.495,0.021597664112380507,0.020161481962085198
0.251,0.14200000000000002,3,0.15670731315159123,0.1284015474581225,0.556,0.4054528641984231,0.4945,0.02159788565218945,0.02015231923449521
0.251,0.14300000000000002,3,0.15623198265474766,0.12891768163348655,0.556,0.40746522645097005,0.4935,0.021598096543522533,0.020143156958201375
0.251,0.14400000000000002,3,0.15575875219492938,0.12943267132643796,0.556,0.4094760014017516,0.493,0.02159829671827558,0.0201339950756022
0.251,0.14500000000000002,3,0.1552876060596286,0.12994652839591647,0.556,0.4114854570000283,0.4925,0.021598486109405436,0.02012483353029265
0.251,0.14600000000000002,3,0.15481852876270338,0.13045926452258816,0.556,0.4134936142354877,0.492,0.021598664650904122,0.020115672267035475
