Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.89625,0.3,0.2758597134071096,0.44417108635150737,0.5623339774448504,0.6540930451518961,1
0.8975,0.3,0.2757916477279805,0.4444028583122135,0.5626013683811317,0.6544352926536502,1
0.89875,0.3,0.27572385274873273,0.4446339714864047,0.5628682136237306,0.6547771456746013,1
0.9,0.3,0.2756563270025687,0.4448644250578955,0.5631345158381168,0.6551186052001862,1
0.90125,0.3,0.275589069032944,0.44509421824164874,0.5634002776738978,0.6554596722052974,1
0.9025,0.3,0.2755220773934801,0.44532335028357206,0.5636655017648293,0.655800347654401,1
0.90375,0.3,0.27545535064787147,0.4455518204603506,0.5639301907288522,0.6561406325016526,1
0.905,0.3,0.2753888873698038,0.4457796280792492,0.5641943471680813,0.6564805276910483,1
0.90625,0.3,0.2753226861428659,0.4460067724779279,0.5644579736688612,0.6568200341565452,1
0.9075,0.3,0.27525674556046303,0.446233253024255,0.5647210728017612,0.65715915282215,1
0.9087500000000001,0.3,0.27519106422573414,0.44645906911611144,0.5649836471216189,0.657497884602084,1
0.91,0.3,0.2751256407514683,0.44668422018119847,0.5652456991675465,0.6578362304008742,1
0.91125,0.3,0.27506047376002063,0.44690870567684965,0.565507231462979,0.6581741911134937,1
0.9125,0.3,0.27499556188323115,0.44713252508982726,0.5657682465156855,0.6585117676254706,1
0.9137500000000001,0.3,0.27493090376234586,0.4473556779361352,0.5660287468178149,0.6588489608129928,1
0.915,0.3,0.27486649804793284,0.4475781637608134,0.5662887348459076,0.6591857715430601,1
0.91625,0.3,0.27480234339980414,0.44779998213774125,0.5665482130609505,0.6595222006735524,1
0.9175,0.3,0.27473843848693946,0.448021132669443,0.5668071839083866,0.6598582490533847,1
0.9187500000000001,0.3,0.27467478198740586,0.4482416149868771,0.5670656498181753,0.6601939175225975,1
0.92,0.3,0.2746113725882818,0.44846142874924744,0.5673236132048116,0.6605292069124671,1
0.92125,0.3,0.2745482089855802,0.44868057364378156,0.5675810764673657,0.660864118045639,1
0.9225,0.3,0.27448528988417575,0.44889904938554737,0.5678380419895375,0.6611986517362077,1
0.9237500000000001,0.3,0.27442261399772494,0.4491168557172321,0.5680945121396649,0.6615328087898593,1
0.925,0.3,0.27436018004859847,0.4493339924089479,0.5683504892708,0.6618665900039356,1
0.92625,0.3,0.27429798676780265,0.4495504592580126,0.568605975720728,0.662199996167577,1
0.9275,0.3,0.2742360328949104,0.4497662560887532,0.5688609738120154,0.6625330280618289,1
0.92875,0.3,0.2741743171779899,0.44998138275229077,0.5691154858520613,0.6628656864597126,1
0.93,0.3,0.2741128383735295,0.4501958391263341,0.5693695141331353,0.6631979721263581,1
0.93125,0.3,0.274051595246373,0.4504096251149714,0.569623060932427,0.6635298858191016,1
0.9325,0.3,0.27399058656964514,0.4506227406484522,0.5698761285120875,0.6638614282875728,1
0.93375,0.3,0.2739298111246864,0.45083518568298175,0.5701287191192778,0.6641926002738249,1
0.935,0.3,0.27386926770098274,0.45104696020051044,0.5703808349862363,0.6645234025123945,1
0.93625,0.3,0.27380895509609965,0.4512580642085164,0.5706324783303037,0.6648538357304326,1
0.9375,0.3,0.2737488721156134,0.45146849773979336,0.5708836513539782,0.6651839006477845,1
0.93875,0.3,0.27368901757304676,0.45167826085224133,0.5711343562449774,0.665513597977097,1
0.9400000000000001,0.3,0.27362939028980204,0.45188735362864474,0.5713845951762896,0.6658429284239062,1
0.94125,0.3,0.2735699890950979,0.4520957761764648,0.5716343703062127,0.6661718926867288,1
0.9425,0.3,0.2735108128259033,0.4523035286276197,0.5718836837784181,0.6665004914571744,1
0.94375,0.3,0.27345186032687574,0.45251061113827085,0.5721325377220101,0.6668287254200026,1
0.9450000000000001,0.3,0.2733931304502961,0.45271702388860763,0.5723809342515662,0.66715659525327,1
0.94625,0.3,0.2733346220560082,0.4529227670826292,0.5726288754672106,0.6674841016283485,1
0.9475,0.3,0.27327633401135754,0.4531278409479298,0.5728763634546487,0.667811245210091,1
0.94875,0.3,0.27321826519112724,0.4533322457354808,0.5731234002852437,0.6681380266568553,1
0.9500000000000001,0.3,0.27316041447748096,0.4535359817194158,0.5733699880160631,0.6684644466206379,1
0.95125,0.3,0.27310278075990013,0.45373904919680896,0.5736161286899419,0.6687905057471324,1
0.9525,0.3,0.27304536293512766,0.4539414484874627,0.5738618243355396,0.6691162046758307,1
0.95375,0.3,0.27298815990710557,0.4541431799336882,0.5741070769673975,0.6694415440401061,1
0.9550000000000001,0.3,0.27293117058691974,0.45434424390008493,0.5743518885859976,0.66976652446729,1
0.95625,0.3,0.2728743938927408,0.45454464077332846,0.5745962611778308,0.670091146578766,1
0.9575,0.3,0.2728178287497677,0.4547443709619512,0.5748401967154487,0.6704154109900408,1
0.95875,0.3,0.27276147409017143,0.4549434348961172,0.5750836971575225,0.6707393183108344,1
0.96,0.3,0.2727053288530373,0.4551418330274179,0.5753267644489161,0.6710628691451622,1
0.96125,0.3,0.2726493919843119,0.4553395658286473,0.5755694005207412,0.6713860640914021,1
0.9625,0.3,0.2725936624367469,0.45553663379357745,0.5758116072904222,0.671708903742393,1
0.96375,0.3,0.2725381391698443,0.45573303743675736,0.576053386661747,0.6720313886854911,1
0.965,0.3,0.27248282114980393,0.4559287772932792,0.5762947405249508,0.67235351950266,1
0.96625,0.3,0.2724277073494693,0.4561238539185746,0.5765356707567658,0.6726752967705558,1
0.9675,0.3,0.2723727967482744,0.4563182678881894,0.576776179220483,0.6729967210605855,1
0.96875,0.3,0.27231808833219173,0.45651201979756945,0.5770162677660319,0.6733177929389855,1
0.97,0.3,0.2722635810936807,0.4567051102618452,0.5772559382300229,0.6736385129668981,1
0.9712500000000001,0.3,0.27220927403163675,0.4568975399156151,0.5774951924358325,0.6739588817004568,1
0.9725,0.3,0.27215516615133906,0.4570893094127271,0.5777340321936536,0.6742788996908303,1
0.97375,0.3,0.27210125646440153,0.45728041942607134,0.577972459300575,0.674598567484324,1
0.975,0.3,0.27204754398872266,0.45747087064735337,0.5782104755406269,0.6749178856224373,1
0.9762500000000001,0.3,0.2719940277484352,0.4576606637868901,0.5784480826848712,0.6752368546419203,1
0.9775,0.3,0.2719407067738585,0.45784979957339167,0.5786852824914457,0.6755554750748648,1
0.97875,0.3,0.2718875801014491,0.4580382787537409,0.5789220767056451,0.6758737474487796,1
0.98,0.3,0.271834646773753,0.45822610209279574,0.5791584670599789,0.6761916722866201,1
0.9812500000000001,0.3,0.27178190583935913,0.45841327037315915,0.5793944552742395,0.6765092501068919,1
