Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.2601,0.0831,0.22634300997315165,0.06700481021378547,0.5812499999999999,0.20601385411302028,0.575
0.2601,0.0832,0.22619614104256722,0.06713634379804373,0.5812499999999999,0.20647693685266932,0.575
0.2601,0.0833,0.22604982393583845,0.067267419682017,0.5812499999999999,0.20693868385210654,0.575
0.2601,0.0834,0.2259040526368091,0.06739804292275613,0.5812499999999999,0.20739911024063892,0.575
0.2601,0.08349999999999999,0.2257588212352038,0.06752821848834346,0.5812499999999999,0.2078582308826541,0.575
0.2601,0.0836,0.22561412392408686,0.06765795126002455,0.5812499999999999,0.2083160603839474,0.575
0.2601,0.0837,0.22546995499738726,0.06778724603428796,0.5812499999999999,0.20877261309789125,0.575
0.2601,0.0838,0.22532630884749993,0.06791610752488055,0.5812499999999999,0.20922790313141257,0.575
0.2601,0.0839,0.225183179962958,0.0680445403647621,0.5812499999999999,0.20968194435079748,0.575
0.2601,0.08399999999999999,0.22504056292618269,0.06817254910799461,0.5812499999999999,0.21013475038729584,0.575
0.2601,0.0841,0.22489845241128717,0.06830013823158815,0.5812499999999999,0.21058633464260068,0.575
0.2601,0.0842,0.22475684318195988,0.06842731213727794,0.5812499999999999,0.21103671029412113,0.575
0.2601,0.0843,0.22461573008939711,0.068554075153261,0.5812499999999999,0.21148589030014117,0.575
0.2601,0.0844,0.22447510807030413,0.06868043153587573,0.5812499999999999,0.21193388740480235,0.575
0.2601,0.08449999999999999,0.22433497214495124,0.06880638547123366,0.5812499999999999,0.21238071414295148,0.575
0.2601,0.0846,0.22419531741528687,0.06893194107680552,0.5812499999999999,0.21282638284484737,0.575
0.2601,0.0847,0.22405613906310312,0.06905710240296181,0.5812499999999999,0.21327090564073692,0.575
0.2601,0.0848,0.22391743234825517,0.06918187343446783,0.5812499999999999,0.21371429446529655,0.575
0.2601,0.0849,0.22377919260692966,0.0693062580919393,0.5812499999999999,0.21415656106195247,0.575
0.2601,0.08499999999999999,0.2236414152499655,0.06943026023325222,0.5812499999999999,0.21459771698706956,0.575
0.2601,0.0851,0.2235040957612124,0.06955388365492256,0.5812499999999999,0.21503777361404958,0.575
0.2601,0.0852,0.22336722969594996,0.06967713209343271,0.5812499999999999,0.21547674213727255,0.575
0.2601,0.0853,0.22323081267933342,0.06980000922653874,0.5812499999999999,0.21591463357597943,0.575
0.2601,0.0854,0.22309484040489735,0.06992251867452663,0.5812499999999999,0.21635145877800363,0.575
