Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.2601,0.0789,0.23310987990026633,0.06098298114732176,0.5812499999999999,0.18510684898487248,0.575
0.2601,0.079,0.23293246838629406,0.06113992900316371,0.5812499999999999,0.18564452514784227,0.575
0.2601,0.0791,0.23275600836131272,0.06129608327826132,0.5812499999999999,0.1861798630755117,0.575
0.2601,0.07919999999999999,0.23258048531954661,0.0614514561611251,0.5812499999999999,0.18671289907833652,0.575
0.2601,0.0793,0.23240588511014845,0.06160605954218181,0.5812499999999999,0.18724366858298394,0.575
0.2601,0.0794,0.23223219392530764,0.06175990502375722,0.5812499999999999,0.18777220616183554,0.575
0.2601,0.0795,0.23205939828886946,0.061913003929630575,0.5812499999999999,0.18829854556122164,0.575
0.2601,0.07959999999999999,0.23188748504542875,0.062065367314190587,0.5812499999999999,0.1888227197284851,0.575
0.2601,0.0797,0.23171644134987823,0.062217005971211325,0.5812499999999999,0.18934476083791815,0.575
0.2601,0.0798,0.23154625465739215,0.06236793044225939,0.5812499999999999,0.18986470031562122,0.575
0.2601,0.0799,0.23137691271381278,0.06251815102476649,0.5812499999999999,0.19038256886336616,0.575
0.2601,0.08,0.2312084035464326,0.06266767777976841,0.5812499999999999,0.19089839648148033,0.575
