side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff
2,0.26498,0.0770576590451598,certified_box,True,0.022369652182810364
1,0.2649825,0.0769992800217866,certified_box,True,0.02240128999306584
2,0.2649825,0.0770592800217866,certified_box,True,0.02237008485002448
1,0.264985,0.0770009010237455,certified_box,True,0.022401722924869607
2,0.264985,0.0770609010237455,certified_box,True,0.022370518997953975
1,0.2649875,0.077002522046566,certified_box,True,0.0224021573373255
2,0.2649875,0.077062522046566,certified_box,True,0.022370954626867428
1,0.26499,0.0770041430917382,certified_box,True,0.02240259322891377
2,0.26499,0.0770641430917382,certified_box,True,0.022371391736553555
1,0.2649925,0.0770057641607522,certified_box,True,0.02240303059811201
2,0.2649925,0.0770657641607522,certified_box,True,0.022371830326800395
1,0.264995,0.077007385250628,certified_box,True,0.02240346944769014
2,0.264995,0.077067385250628,certified_box,True,0.02237227039775765
1,0.2649975,0.0770090063643455,certified_box,True,0.022403909774696494
2,0.2649975,0.0770690063643455,certified_box,True,0.022372711949092364
1,0.265,0.0770106275004148,certified_box,True,0.022404351580469998
2,0.265,0.0770706275004148,certified_box,True,0.022373115309371614
1,0.2650025,0.077012248660326,certified_box,True,0.022404706739458498
2,0.2650025,0.077072248660326,certified_box,True,0.022373454186264536
1,0.265005,0.0770138698410987,certified_box,True,0.022405046009705668
2,0.265005,0.0770738698410987,certified_box,True,0.022373794547747787
1,0.2650075,0.0770154910457134,certified_box,True,0.022405386761256793
2,0.2650075,0.0770754910457134,certified_box,True,0.022374136393504194
1,0.26501,0.0770171122741699,certified_box,True,0.02240572899403791
2,0.26501,0.0770771122741699,certified_box,True,0.02237447972346309
1,0.2650125,0.077018733523488,certified_box,True,0.022406072710840903
2,0.2650125,0.077078733523488,certified_box,True,0.022374824537791126
1,0.265015,0.0770203547951579,certified_box,True,0.022406417910158908
2,0.265015,0.0770803547951579,certified_box,True,0.022375170836294367
1,0.2650175,0.0770219760906696,certified_box,True,0.022406764590486926
2,0.2650175,0.0770819760906696,certified_box,True,0.022375518618777172
1,0.26502,0.077023597408533,certified_box,True,0.0224071127531846
2,0.26502,0.077083597408533,certified_box,True,0.022375867885286133
1,0.2650225,0.0770252187487482,certified_box,True,0.022407462398176446
2,0.2650225,0.0770852187487483,certified_box,True,0.022376218635746913
1,0.265025,0.0770268401128053,certified_box,True,0.022407813523957265
2,0.265025,0.0770868401128054,certified_box,True,0.02237657086996238
1,0.2650275,0.077028461497724,certified_box,True,0.0224081661333145
2,0.2650275,0.077088461497724,certified_box,True,0.02237692458810003
1,0.26503,0.0770300829064846,certified_box,True,0.022408520223310663
2,0.26503,0.0770900829064846,certified_box,True,0.022377279789842892
1,0.2650325,0.0770317043375969,certified_box,True,0.022408875795301986
2,0.2650325,0.0770917043375969,certified_box,True,0.022377636475234657
1,0.265035,0.0770333257910609,certified_box,True,0.022409232849213565
2,0.265035,0.0770933257910609,certified_box,True,0.022377994644200636
1,0.2650375,0.0770349472683668,certified_box,True,0.022409591383537614
2,0.2650375,0.0770949472683668,certified_box,True,0.02237835429654187
1,0.26504,0.0770365687665343,certified_box,True,0.022409951401060835
2,0.26504,0.0770965687665343,certified_box,True,0.022378715432425672
1,0.2650425,0.0770381902885437,certified_box,True,0.02241031289884434
2,0.2650425,0.0770981902885437,certified_box,True,0.022379078051530204
1,0.265045,0.0770398118329048,certified_box,True,0.022410675878243014
2,0.265045,0.0770998118329048,certified_box,True,0.02237944215390181
1,0.2650475,0.0770414334011078,certified_box,True,0.02241104033774851
2,0.2650475,0.0771014334011078,certified_box,True,0.022379807739341024
1,0.26505,0.0770430549901724,certified_box,True,0.022411406280145794
2,0.26505,0.0771030549901724,certified_box,True,0.022380174808011206
