k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,param_pert,higher_rank_margin,passed
111,0.3100000000000001,0.3200000000000001,0.1,0.11000000000000001,0.2787501205285431,37.56001198082882,1.160000000000001,38.72001198082882,1.5446631366502634,1.4947662139945548,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.11000000000000001,0.12000000000000001,0.28621363405638167,37.935376629209934,1.1600000000000004,39.09537662920994,1.53831829492673,1.4883242071655913,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.05,0.060000000000000005,0.2559172845530091,37.23053182537148,1.1600000000000006,38.39053182537148,1.5919755462443896,1.5419878745967688,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.060000000000000005,0.07,0.2586407252740856,37.44502370142123,1.1600000000000006,38.60502370142123,1.5896854173809238,1.5398081257770215,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.07,0.08000000000000002,0.2619616429903904,37.69099759889623,1.160000000000001,38.850997598896235,1.5867710741546632,1.5368340592460557,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.08000000000000002,0.09000000000000001,0.26594001422086644,37.96784165580136,1.1600000000000004,39.12784165580136,1.5836077316119814,1.533699770316315,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.09000000000000001,0.1,0.2706518560941563,38.27488602203799,1.1600000000000004,39.43488602203799,1.579774088702408,1.529856511459322,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.1,0.11000000000000001,0.27619091677631796,38.61141023065601,1.160000000000001,39.771410230656016,1.575410253533011,1.5254461703286706,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3200000000000001,0.3300000000000001,0.11000000000000001,0.12000000000000001,0.28266679215740975,38.976650702696425,1.1600000000000004,40.13665070269643,1.569993395493206,1.5200721881515444,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3300000000000001,0.34000000000000014,0.05,0.060000000000000005,0.25554686777031393,38.32314183362322,1.1600000000000006,39.48314183362322,1.62065231014543,1.5706736495965385,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
