Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,alpha_over_gamma,winner_k,gap2_minus_gap1
0.26475,0.08460000000000001,0.2585865995535753,0.28114497162653007,0.2585865995535753,1,0.022558372072954747
0.26475,0.08465,0.2583826933148716,0.2811553979115153,0.2583826933148716,1,0.022772704596643656
0.26475,0.08470000000000001,0.2581807046019434,0.2811658306133452,0.2581807046019434,1,0.02298512601140179
0.26475,0.08475,0.2579805860867562,0.2811762697323839,0.2579805860867562,1,0.023195683645627685
0.26475,0.0848,0.2577822923123017,0.2811867152689992,0.2577822923123017,1,0.02340442295669748
0.26475,0.08485000000000001,0.2575857795913744,0.2811971672235566,0.2575857795913744,1,0.02361138763218218
0.26475,0.0849,0.2573910059122633,0.2812076255964222,0.2573910059122633,1,0.02381661968415888
0.26475,0.08495000000000001,0.25719793085078657,0.2812180903879626,0.25719793085078657,1,0.02402015953717601
0.26475,0.085,0.2570065154881526,0.2812285615985419,0.2570065154881526,1,0.024222046110389306
0.26475,0.08505,0.25681672233421077,0.28123903922852783,0.25681672233421077,1,0.024422316894317064
0.26475,0.08510000000000001,0.2566285152556268,0.28124952327828523,0.2566285152556268,1,0.02462100802265843
0.26475,0.08515,0.2564418594086211,0.28126001374818016,0.2564418594086211,1,0.024818154339559084
0.26475,0.08520000000000001,0.25625672117592796,0.28127051063857644,0.25625672117592796,1,0.025013789462648484
0.26475,0.08525,0.2560730681076542,0.28128101394984173,0.2560730681076542,1,0.02520794584218755
0.26475,0.0853,0.25589086886573215,0.2812915236823398,0.25589086886573215,1,0.025400654816607637
0.26475,0.08535000000000001,0.25571009317172255,0.28130203983643753,0.25571009317172255,1,0.025591946664714982
0.26475,0.0854,0.2555307117577086,0.28131256241249925,0.2555307117577086,1,0.02578185065479066
0.26475,0.08545000000000001,0.2553526963200781,0.2813230914108877,0.2553526963200781,1,0.02597039509080956
0.26475,0.0855,0.25517601947597424,0.2813336268319717,0.25517601947597424,1,0.02615760735599748
0.2648,0.0825,0.27124127514205637,0.28071777941151327,0.27124127514205637,1,0.009476504269456898
0.2648,0.08255,0.27081459617595804,0.28072793243942606,0.27081459617595804,1,0.00991333626346802
0.2648,0.0826,0.27040138724497365,0.2807380918657423,0.27040138724497365,1,0.010336704620768633
0.2648,0.08265,0.27000055310151194,0.2807482576908289,0.27000055310151194,1,0.010747704589316953
0.2648,0.08270000000000001,0.26961113781334073,0.28075842991505545,0.26961113781334073,1,0.011147292101714723
0.2648,0.08275,0.26923230121114605,0.2807686085387903,0.26923230121114605,1,0.011536307327644268
0.2648,0.0828,0.26886330021605676,0.28077879356240104,0.26886330021605676,1,0.011915493346344286
0.2648,0.08285000000000001,0.26850347386599005,0.2807889849862555,0.26850347386599005,1,0.012285511120265435
0.2648,0.0829,0.26815223118326137,0.2807991828107225,0.26815223118326137,1,0.012646951627461156
0.2648,0.08295000000000001,0.26780904125142796,0.28080938703617025,0.26780904125142796,1,0.013000345784742295
0.2648,0.083,0.2674734250289459,0.2808195976629662,0.2674734250289459,1,0.013346172634020326
0.2648,0.08305,0.26714494854215426,0.2808298146914781,0.26714494854215426,1,0.013684866149323849
0.2648,0.08310000000000001,0.26682321718391094,0.28084003812207425,0.26682321718391094,1,0.01401682093816331
0.2648,0.08315,0.26650787090614153,0.28085026795512213,0.26650787090614153,1,0.014342397048980604
0.2648,0.08320000000000001,0.2661985801408334,0.2808605041909891,0.2661985801408334,1,0.014661924050155706
0.2648,0.08325,0.2658950423190401,0.2808707468300445,0.2658950423190401,1,0.014975704511004384
0.2648,0.0833,0.26559697888419864,0.28088099587265397,0.26559697888419864,1,0.015284016988455329
0.2648,0.08335000000000001,0.2653041327166123,0.2808912513191861,0.2653041327166123,1,0.01558711860257378
0.2648,0.0834,0.26501626590204574,0.2809015131700078,0.26501626590204574,1,0.015885247267962033
0.2648,0.08345000000000001,0.2647331577898759,0.2809117814254874,0.2647331577898759,1,0.01617862363561151
0.2648,0.0835,0.26445460329618214,0.2809220560859906,0.26445460329618214,1,0.016467452789808434
0.2648,0.08355,0.26418041141511694,0.28093233715188526,0.26418041141511694,1,0.016751925736768314
0.2648,0.08360000000000001,0.26391040390810616,0.2809426246235408,0.26391040390810616,1,0.017032220715434643
