winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
1,0.26604999999999995,0.08505000000000003,0.27849443337575275,0.599,0.025147063897342718,0.023072813978323524,0.0026684012639954673,0.02247866263334725,True,certified_box
1,0.26604999999999995,0.08515000000000003,0.27728587132512983,0.599,0.026168114472269462,0.024340939460625127,0.0023961533229062836,0.02377196114936318,True,certified_box
1,0.26604999999999995,0.08525000000000003,0.27619355937766543,0.599,0.02709193992410417,0.02544235169258523,0.0022041762504845393,0.024887763673619633,True,certified_box
1,0.26604999999999995,0.08535000000000004,0.2751913665800949,0.599,0.0279403877451631,0.026426429599521878,0.002060255006346944,0.025880132738816154,True,certified_box
1,0.26604999999999995,0.08545000000000004,0.27426162767786544,0.599,0.02872822835857957,0.027322244158129762,0.0019477390714954196,0.02678048928708415,True,certified_box
1,0.26604999999999995,0.08555000000000004,0.2733917445808038,0.599,0.02946599601348825,0.02814860425697736,0.001857034911086093,0.027608961102402158,True,certified_box
2,0.26614999999999994,0.08385,0.28112532941401225,0.5994999999999999,0.022872355932101365,0.022856891837161403,0.0009788865518519723,0.021893469380249393,True,certified_box
2,0.26614999999999994,0.08395,0.2811457650175133,0.5994999999999999,0.02286355722977358,0.02284811479534772,0.0009788871317668543,0.021884670098006723,True,certified_box
2,0.26614999999999994,0.08405,0.28116622593452756,0.5994999999999999,0.022854748735238867,0.022839328018500787,0.0009788877122650353,0.02187586102297383,True,certified_box
2,0.26614999999999994,0.08415,0.2811867121678037,0.5994999999999999,0.02284593045302246,0.022830531511268015,0.000978888293347517,0.021867042159674943,True,certified_box
2,0.26614999999999994,0.08425,0.2812072237200869,0.5994999999999999,0.02283710238767125,0.022821725278316645,0.0009788888750150938,0.02185821351265616,True,certified_box
2,0.26614999999999994,0.08435000000000001,0.28122776059412324,0.5994999999999999,0.022828264543751167,0.022812909324332768,0.0009788894572687083,0.021849375086482457,True,certified_box
2,0.26614999999999994,0.08445000000000001,0.28124832279265644,0.5994999999999999,0.022819416925848966,0.022804083654025167,0.0009788900401093996,0.021840526885739567,True,certified_box
2,0.26614999999999994,0.08455000000000001,0.2812689103184288,0.5994999999999999,0.022810559538572157,0.022795248272123862,0.0009788906235378007,0.021831668915034356,True,certified_box
2,0.26614999999999994,0.08465000000000002,0.28128952317418093,0.5994999999999999,0.022801692386548885,0.022786395274005302,0.000978891207554925,0.02182280117899396,True,certified_box
