Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_abs_Fk_on_boundary,y_at_min_abs_Fk,min_Re_Fk_on_boundary,y_at_min_Re_Fk,min_Re_Sigma_minus,y_at_min_Re_Sigma_minus,min_Re_Sigma_plus,y_at_min_Re_Sigma_plus,min_Re_R_minus_1,min_Re_R_plus_1
0.25,0.12000000000000001,5,0.1655668095552103,0.36579990452949884,0.975,-0.15609029522833526,6.0,0.03229069683654008,6.0,0.027592007624263844,6.0,0.3586158485541901,0.3538732818521344
0.25,0.12000000000000001,6,0.1655668095552103,0.4391344486039636,1.185,-0.15181783547791713,6.0,0.04860023722631717,6.0,0.04153994920821174,6.0,0.3687507051146533,0.36254390721704766
0.25,0.12000000000000001,7,0.1655668095552103,0.5134965403816606,1.395,-0.14645498721960257,6.0,0.06776388100102247,6.0,0.05793930135398626,6.0,0.3809144165391405,0.37292216756783003
0.25,0.12000000000000001,8,0.1655668095552103,0.5874957772643818,1.6199999999999999,-0.1397953221089426,6.0,0.08984153014687758,6.0,0.07684712428958584,6.0,0.3952695956232515,0.38513459357810576
0.25,0.12000000000000001,9,0.1655668095552103,0.6602672007379589,1.845,-0.1315778727330515,6.0,0.11489961403711661,6.0,0.09832755266076125,6.0,0.41200585020197283,0.39932946903584116
0.25,0.12000000000000001,10,0.1655668095552103,0.7314490000331776,2.07,-0.12147485430450179,6.0,0.14301025165583478,6.0,0.12245132261916328,6.0,0.4313408863276919,0.41567813666542924
0.25,0.12000000000000001,11,0.1655668095552103,0.8010469026952972,2.295,-0.10907634907916193,6.0,0.17425029812217868,6.0,0.14929521599992207,6.0,0.45352146030467977,0.4343763387810794
0.25,0.12000000000000001,12,0.1655668095552103,0.8692108432313305,2.52,-0.09387137444187524,6.0,0.20870027572900215,6.0,0.17894141532559002,6.0,0.47882404936384715,0.4556455265485717
0.25,0.13,3,0.16058208808086727,0.2389719873569642,0.5549999999999999,-0.15693563822730713,6.0,0.008087455569821765,6.0,0.0068186787570801806,6.0,0.34897635871952704,0.34621024847041654
0.25,0.13,4,0.16058208808086727,0.3045467479854911,0.765,-0.1543598967417806,6.0,0.01891387896257445,6.0,0.015949681881493673,6.0,0.3554948047345179,0.3517432114813465
0.25,0.13,5,0.16058208808086727,0.37492106145776594,0.975,-0.15096973100021005,6.0,0.03251565336864487,6.0,0.027426524108182585,6.0,0.3638089851360605,0.3587846579420979
0.25,0.13,6,0.16058208808086727,0.4483485315390087,1.185,-0.1466399015581097,6.0,0.04893749930484005,6.0,0.041290736196226564,6.0,0.3740320837640932,0.3674202235168273
0.25,0.13,7,0.16058208808086727,0.5228781901721202,1.395,-0.14120781740615493,6.0,0.0682319601537515,6.0,0.05759161081736862,6.0,0.3863022347100369,0.3777547704949704
0.25,0.13,8,0.16058208808086727,0.5970744993132744,1.6199999999999999,-0.13446587487778228,6.0,0.09045877711280377,6.0,0.07638588575674911,6.0,0.40078361905393667,0.3899134747684959
0.25,0.13,9,0.16058208808086727,0.6700599598811218,1.845,-0.1261516869846561,6.0,0.11568415075533565,6.0,0.09773735857038073,6.0,0.41766759178226226,0.40404303640421385
0.25,0.13,10,0.16058208808086727,0.7414533502771151,2.07,-0.11593578041208469,6.0,0.14397988707718293,6.0,0.12171642640206318,6.0,0.43717375296565153,0.42031297732005185
0.25,0.13,11,0.16058208808086727,0.8112514497848844,2.295,-0.10340625938351022,6.0,0.17542242705945757,6.0,0.14839954448568174,6.0,0.459550854990306,0.4389169771540322
0.25,0.13,12,0.16058208808086727,0.8796015603190329,2.52,-0.08804986367360325,6.0,0.2100917604560713,6.0,0.17786859699416444,6.0,0.4850774126615441,0.4600741831266242
0.25,0.14,3,0.15580671780813335,0.24786540947060828,0.5549999999999999,-0.15210930387911667,6.0,0.008143991725829431,6.0,0.0067778142983945695,6.0,0.3538328413511609,0.3509603023310145
0.25,0.14,4,0.15580671780813335,0.3134387571838119,0.765,-0.14949867572647982,6.0,0.01904576163525719,6.0,0.015854068753998436,6.0,0.36040693181358713,0.3564719572785499
0.25,0.14,5,0.15580671780813335,0.38377491674712283,0.975,-0.14606384590171367,6.0,0.03274164811677705,6.0,0.027262061938530976,6.0,0.36879242768742143,0.36348543390412796
0.25,0.14,6,0.15580671780813335,0.4572789248835103,1.185,-0.14167882517520922,6.0,0.04927629750258577,6.0,0.041043065757811296,6.0,0.37910367482627005,0.3720854536263957
0.25,0.14,7,0.15580671780813335,0.5319665874552859,1.395,-0.13618007705824317,6.0,0.06870213795672614,6.0,0.05724607899738722,6.0,0.39148018569429416,0.38237575890186015
0.25,0.14,8,0.15580671780813335,0.6063569043826285,1.6199999999999999,-0.12935883264217607,6.0,0.0910787409357641,6.0,0.07592751978190207,6.0,0.4060877211652415,0.39448019008339363
0.25,0.14,9,0.15580671780813335,0.679554610020712,1.845,-0.12095129362951709,6.0,0.11647206771967486,6.0,0.09715085110591949,6.0,0.4231193947433464,0.4085438863263906
0.25,0.14,10,0.15580671780813335,0.7511577193680089,2.07,-0.11062630297641562,6.0,0.1449535992489285,6.0,0.12098613313374809,6.0,0.4427967107993557,0.42473457528691116
