Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
0.8500000000000001,0.15000000000000002,1,0.2576260162765772
0.9,0.15000000000000002,1,0.25681096141174065
0.9500000000000001,0.15000000000000002,1,0.25612058860167
1.0,0.15000000000000002,1,0.2555304738558988
1.05,0.15000000000000002,1,0.2550219675904045
1.1,0.15000000000000002,1,0.2545806065035332
1.1500000000000001,0.15000000000000002,1,0.25419502074334366
1.2000000000000002,0.15000000000000002,1,0.25385616454032023
1.25,0.15000000000000002,1,0.25355676377806735
1.3,0.15000000000000002,1,0.2532909124326629
1.35,0.15000000000000002,1,0.25305377323509165
1.4000000000000001,0.15000000000000002,1,0.2528413525994462
1.4500000000000002,0.15000000000000002,1,0.25265032930785236
1.5,0.15000000000000002,1,0.2524779226587125
1.55,0.15000000000000002,1,0.25232178995638316
1.6,0.15000000000000002,1,0.2521799460704811
1.6500000000000001,0.15000000000000002,1,0.2520506997718588
1.7000000000000002,0.15000000000000002,1,0.25193260294640846
1.75,0.15000000000000002,1,0.2518244097831688
1.8,0.15000000000000002,1,0.2517250437525129
1.85,0.15000000000000002,1,0.2516335707158788
1.9000000000000001,0.15000000000000002,1,0.25154917689670264
1.9500000000000002,0.15000000000000002,1,0.2514711507316383
2.0,0.15000000000000002,1,0.25139886783886556
2.0500000000000003,0.15000000000000002,1,0.2513317785054762
2.1,0.15000000000000002,1,0.2512693972222078
2.15,0.15000000000000002,1,0.2512112938910418
2.2,0.15000000000000002,1,0.2511570864066419
2.25,0.15000000000000002,1,0.2511064343714924
2.3000000000000003,0.15000000000000002,1,0.2510590337508589
2.35,0.15000000000000002,1,0.2510146123102285
2.4000000000000004,0.15000000000000002,1,0.2509729257069786
2.45,0.15000000000000002,1,0.2509337541311578
2.5,0.15000000000000002,1,0.25089689940894083
2.5500000000000003,0.15000000000000002,1,0.25086218249732006
2.6,0.15000000000000002,1,0.2508294413107781
2.6500000000000004,0.15000000000000002,1,0.25079852883059894
2.7,0.15000000000000002,1,0.25076931145557313
2.75,0.15000000000000002,1,0.2507416675595109
2.8000000000000003,0.15000000000000002,1,0.250715486226448
2.85,0.15000000000000002,1,0.2506906661389653
2.9000000000000004,0.15000000000000002,1,0.25066711459879193
2.95,0.15000000000000002,1,0.2506447466620259
3.0,0.15000000000000002,1,0.25062348437387494
3.0500000000000003,0.15000000000000002,1,0.25060325609005485
3.1,0.15000000000000002,1,0.25058399587381164
3.1500000000000004,0.15000000000000002,1,0.2505656429590792
3.2,0.15000000000000002,1,0.2505481412716275
3.25,0.15000000000000002,1,0.2505314390011373
3.3000000000000003,0.15000000000000002,1,0.2505154882181148
3.35,0.15000000000000002,1,0.25050024453035613
3.4000000000000004,0.15000000000000002,1,0.2504856667743569
3.45,0.15000000000000002,1,0.250471716737679
3.5,0.15000000000000002,1,0.25045835890875484
3.5500000000000003,0.15000000000000002,1,0.250445560251099
3.6,0.15000000000000002,1,0.2504332899992172
3.6500000000000004,0.15000000000000002,1,0.2504215194738916
3.7,0.15000000000000002,1,0.2504102219147404
3.75,0.15000000000000002,1,0.25039937232825366
3.8000000000000003,0.15000000000000002,1,0.25038894734967515
3.85,0.15000000000000002,1,0.25037892511731946
3.9000000000000004,0.15000000000000002,1,0.25036928515805545
3.95,0.15000000000000002,1,0.25036000828283633
4.0,0.15000000000000002,1,0.25035107649128374
4.05,0.15000000000000002,1,0.25034247288444483
4.1000000000000005,0.15000000000000002,1,0.2503341815849133
4.15,0.15000000000000002,1,0.25032618766364534
4.2,0.15000000000000002,1,0.2503184770728053
4.25,0.15000000000000002,1,0.2503110365840976
4.3,0.15000000000000002,1,0.25030385373206604
4.3500000000000005,0.15000000000000002,1,0.2502969167619318
4.4,0.15000000000000002,1,0.25029021458153977
4.45,0.15000000000000002,1,0.2502837367170316
4.5,0.15000000000000002,1,0.25027747327196614
4.55,0.15000000000000002,1,0.25027141488955706
4.6000000000000005,0.15000000000000002,1,0.2502655527177309
4.65,0.15000000000000002,1,0.25025987837683417
4.7,0.15000000000000002,1,0.2502543839296933
4.75,0.15000000000000002,1,0.25024906185388573
4.800000000000001,0.15000000000000002,1,0.25024390501600474
4.8500000000000005,0.15000000000000002,1,0.250238906647774
4.9,0.15000000000000002,1,0.250234060323848
4.95,0.15000000000000002,1,0.2502293599411898
5.0,0.15000000000000002,1,0.2502247996998485
0.0,0.2,1,0.5
0.05,0.2,1,0.004337547734483133
0.1,0.2,1,0.017691507246341352
0.15000000000000002,0.2,1,0.04121065328775895
0.2,0.2,1,0.07732276198703765
0.25,0.2,1,0.1308972792930903
0.30000000000000004,0.2,1,0.21042325251324706
0.35000000000000003,0.2,1,0.30610299809371505
0.4,0.2,1,0.31605002427833884
0.45,0.2,1,0.29927658461603757
0.5,0.2,1,0.28888591165562916
0.55,0.2,1,0.2817694567503838
0.6000000000000001,0.2,1,0.2765782598819622
0.65,0.2,1,0.27262854761111865
0.7000000000000001,0.2,1,0.2695314617073755
0.75,0.2,1,0.2670469427549603
0.8,0.2,1,0.2650176195105635
0.8500000000000001,0.2,1,0.2633355416088547
0.9,0.2,1,0.2619240003309887
0.9500000000000001,0.2,1,0.2607269280902981
1.0,0.2,1,0.2597023874362433
1.05,0.2,1,0.258818399250336
1.1,0.2,1,0.2580501748306785
1.1500000000000001,0.2,1,0.25737822500917784
1.2000000000000002,0.2,1,0.2567870360200575
1.25,0.2,1,0.2562641223283829
1.3,0.2,1,0.25579933648757924
1.35,0.2,1,0.25538435807433885
1.4000000000000001,0.2,1,0.2550123097736172
1.4500000000000002,0.2,1,0.25467746526685386
1.5,0.2,1,0.25437502439822873
1.55,0.2,1,0.2541009383098061
1.6,0.2,1,0.25385177214106536
1.6500000000000001,0.2,1,0.2536245962797403
1.7000000000000002,0.2,1,0.25341689953257296
1.75,0.2,1,0.25322651928087025
1.8,0.2,1,0.2530515849094341
1.85,0.2,1,0.2528904716906957
1.9000000000000001,0.2,1,0.25274176296491263
1.9500000000000002,0.2,1,0.2526042189484794
2.0,0.2,1,0.2524767508718806
2.0500000000000003,0.2,1,0.2523583994290501
2.1,0.2,1,0.2522483167343408
2.15,0.2,1,0.2521457511484626
2.2,0.2,1,0.25205003446292196
2.25,0.2,1,0.2519605710326891
2.3000000000000003,0.2,1,0.25187682852549914
2.35,0.2,1,0.25179833001846674
2.4000000000000004,0.2,1,0.25172464722221083
2.45,0.2,1,0.2516553946522359
2.5,0.2,1,0.25159022459916436
2.5500000000000003,0.2,1,0.25152882277505745
2.6,0.2,1,0.25147090453390947
2.6500000000000004,0.2,1,0.2514162115813821
2.7,0.2,1,0.2513645091027087
2.75,0.2,1,0.25131558324912184
2.8000000000000003,0.2,1,0.2512692389325705
2.85,0.2,1,0.2512252978862462
2.9000000000000004,0.2,1,0.2511835969549512
2.95,0.2,1,0.25114398658469916
3.0,0.2,1,0.25110632948545275
3.0500000000000003,0.2,1,0.25107049944469084
3.1,0.2,1,0.2510363802726869
3.1500000000000004,0.2,1,0.2510038648630464
3.2,0.2,1,0.25097285435433647
3.25,0.2,1,0.2509432573805699
3.3000000000000003,0.2,1,0.2509149893999507
3.35,0.2,1,0.2508879720926771
3.4000000000000004,0.2,1,0.25086213281980996
3.45,0.2,1,0.25083740413621775
3.5,0.2,1,0.25081372335154306
3.5500000000000003,0.2,1,0.25079103213382975
3.6,0.2,1,0.25076927615113925
3.6500000000000004,0.2,1,0.2507484047470838
3.7,0.2,1,0.2507283706466224
3.75,0.2,1,0.2507091296889578
3.8000000000000003,0.2,1,0.2506906405847181
3.85,0.2,1,0.25067286469492656
3.9000000000000004,0.2,1,0.25065576582956206
3.95,0.2,1,0.2506393100637463
4.0,0.2,1,0.2506234655698209
4.05,0.2,1,0.25060820246375626
4.1000000000000005,0.2,1,0.2505934926645311
4.15,0.2,1,0.25057930976522025
4.2,0.2,1,0.2505656289147171
4.25,0.2,1,0.2505524267090687
4.3,0.2,1,0.2505396810915782
4.3500000000000005,0.2,1,0.25052737126084335
4.4,0.2,1,0.25051547758604364
4.45,0.2,1,0.25050398152880504
4.5,0.2,1,0.25049286557109784
4.55,0.2,1,0.25048211314860136
4.6000000000000005,0.2,1,0.2504717085891093
4.65,0.2,1,0.25046163705552243
4.7,0.2,1,0.25045188449301875
4.75,0.2,1,0.25044243758011486
4.800000000000001,0.2,1,0.2504332836832477
4.8500000000000005,0.2,1,0.25042441081458566
4.9,0.2,1,0.25041580759286397
4.95,0.2,1,0.2504074632069129
5.0,0.2,1,0.2503993673817694
0.0,0.25,1,0.5
0.05,0.25,1,0.0040193336849569114
0.1,0.25,1,0.01631585668591486
0.15000000000000002,0.25,1,0.03765531460232748
