Omega_center,Delta_center,halfwidth,depth,winner_side,box_status,passed,sigma_minus_diff
0.265696875,0.083984375,3.125e-06,4,2,certified_box,True,0.021953409483441745
0.265690625,0.08399062499999999,3.125e-06,4,1,crosses_boundary,False,
0.265690625,0.083996875,3.125e-06,4,1,crosses_boundary,False,
0.265696875,0.08399062499999999,3.125e-06,4,2,certified_box,True,0.02195285974096945
0.265696875,0.083996875,3.125e-06,4,2,crosses_boundary,False,
0.26565,0.08405,5e-05,0,1,crosses_boundary,False,
0.265625,0.084025,2.5e-05,1,1,certified_box,True,0.023842739791568077
0.265625,0.084075,2.5e-05,1,1,certified_box,True,0.024457675134867695
0.265675,0.084025,2.5e-05,1,1,crosses_boundary,False,
0.265675,0.084075,2.5e-05,1,1,certified_box,True,0.02285204688581619
0.26566249999999997,0.0840125,1.25e-05,2,1,certified_box,True,0.02299085937999973
0.26566249999999997,0.0840375,1.25e-05,2,1,certified_box,True,0.02333411252107723
0.2656875,0.0840125,1.25e-05,2,1,crosses_boundary,False,
0.2656875,0.0840375,1.25e-05,2,1,certified_box,True,0.022464863924536352
0.26568125000000004,0.08400625,6.25e-06,3,1,certified_box,True,0.02246313928720707
0.26568125000000004,0.08401875,6.25e-06,3,1,certified_box,True,0.02264713318606155
0.26569375,0.08400625,6.25e-06,3,1,crosses_boundary,False,
0.26569375,0.08401875,6.25e-06,3,1,certified_box,True,0.022189985208783843
0.265690625,0.084003125,3.125e-06,4,1,certified_box,True,0.02214555953584292
0.265690625,0.08400937500000001,3.125e-06,4,1,certified_box,True,0.022241848169341837
0.265696875,0.084003125,3.125e-06,4,2,crosses_boundary,False,
0.265696875,0.08400937500000001,3.125e-06,4,1,crosses_boundary,False,
0.26575,0.08405,5e-05,0,2,crosses_boundary,False,
0.265725,0.084025,2.5e-05,1,2,crosses_boundary,False,
0.265725,0.084075,2.5e-05,1,1,crosses_boundary,False,
0.265775,0.084025,2.5e-05,1,2,certified_box,True,0.021888374250121342
0.265775,0.084075,2.5e-05,1,2,certified_box,True,0.021883949263140298
0.26571249999999996,0.0840125,1.25e-05,2,2,crosses_boundary,False,
0.26571249999999996,0.0840375,1.25e-05,2,2,crosses_boundary,False,
0.2657375,0.0840125,1.25e-05,2,2,certified_box,True,0.0219266436255763
0.2657375,0.0840375,1.25e-05,2,2,certified_box,True,0.02192444988827493
