Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.16,7,0.14683284789843098,0.25549665773190794,1.375,5.2264921006498,0.0
0.25,0.16,8,0.14683284789843098,0.2839832018939318,1.6,8.139665061225083,0.0
0.25,0.16,9,0.14683284789843098,0.3109523914745356,1.8,12.251934648181663,0.0
0.25,0.16,10,0.14683284789843098,0.33648156180651023,2.025,17.92289019397098,0.0
0.25,0.16,11,0.14683284789843098,0.3608217766308605,2.25,25.58535691011981,0.0
0.25,0.16,12,0.14683284789843098,0.3841178699646485,2.475,35.75408637430287,0.0
0.25,0.16999999999999998,3,0.1426118025016259,0.14344995880109881,0.55,0.46117215912030074,0.47500000000000003
0.25,0.16999999999999998,4,0.1426118025016259,0.17082605290596092,0.75,0.9675180252791722,0.65
0.25,0.16999999999999998,5,0.1426118025016259,0.20023582301135834,0.9500000000000001,1.8359136109883167,0.8500000000000001
0.25,0.16999999999999998,6,0.1426118025016259,0.23046321872102374,1.1500000000000001,3.241784626379435,1.0250000000000001
0.25,0.16999999999999998,7,0.1426118025016259,0.2597935842186873,1.375,5.285335909699223,0.0
0.25,0.16999999999999998,8,0.1426118025016259,0.28830488398362364,1.6,8.220637735288786,0.0
0.25,0.16999999999999998,9,0.1426118025016259,0.31527997730586094,1.8,12.360269020343843,0.0
0.25,0.16999999999999998,10,0.1426118025016259,0.3408414270902535,2.025,18.064634396421432,0.0
