Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,gap2_minus_gap1,winner_k
0.26475,0.07837999999999999,0.28156569210468557,0.27989787129705695,-0.0016678208076286172,2
0.26475,0.07839499999999999,0.2815861973521776,0.27990075990042373,-0.0016854374517538684,2
0.26475,0.07841,0.28160672354801725,0.2799036490771416,-0.001703074470875643,2
0.26475,0.078425,0.2816272707409667,0.2799065388272215,-0.0017207319137452215,2
0.26475,0.07844,0.28164783897998125,0.27990942915067374,-0.0017384098293075079,2
0.26475,0.078455,0.2816684283142107,0.2799123200475074,-0.0017561082667033046,2
0.26475,0.07847,0.2816890387929985,0.27991521151773224,-0.0017738272752662598,2
0.26475,0.078485,0.2817096704658872,0.27991810356135904,-0.0017915669045281413,2
0.26475,0.0785,0.2817303233826139,0.27992099617839755,-0.0018093272042163377,2
0.26475,0.078515,0.28175099759311595,0.27992388936885826,-0.0018271082242576897,2
0.26475,0.07852999999999999,0.2817716931475339,0.2799267831327506,-0.0018449100147833186,2
0.26475,0.07854499999999999,0.2817924100962008,0.2799296774700856,-0.0018627326261151933,2
0.26475,0.07855999999999999,0.28181314848965994,0.2799325723808722,-0.0018805761087877237,2
0.26475,0.07857499999999999,0.28183390837865085,0.27993546786512086,-0.0018984405135299975,2
0.26475,0.07859,0.28185468981412515,0.27993836392284105,-0.0019163258912840986,2
0.26475,0.078605,0.28187549284723157,0.2799412605540441,-0.0019342322931874545,2
0.26475,0.07862,0.2818963175293315,0.2799441577587386,-0.0019521597705928762,2
0.26475,0.078635,0.2819171639119903,0.27994705553693594,-0.001970108375054347,2
0.26475,0.07865,0.28193803204698537,0.27994995388864485,-0.0019880781583405116,2
0.26475,0.078665,0.2819589219863015,0.27995285281387644,-0.0020060691724250734,2
0.26475,0.07868,0.2819798337821353,0.27995575231263947,-0.002024081469495842,2
0.26475,0.078695,0.28200076748689845,0.27995865238494577,-0.0020421151019526795,2
0.26475,0.07870999999999999,0.2820217231532119,0.27996155303080505,-0.0020601701224068347,2
0.26475,0.07872499999999999,0.28204270083391475,0.2799644542502242,-0.002078246583690546,2
0.26475,0.07873999999999999,0.28206370058206226,0.2799673560432178,-0.0020963445388444413,2
0.26475,0.07875499999999999,0.2820847224509246,0.2799702584097933,-0.002114464041131303,2
0.26475,0.07876999999999999,0.28210576649399355,0.2799731613499617,-0.0021326051440318516,2
0.26475,0.078785,0.2821268327649764,0.2799760648637318,-0.0021507679012446324,2
0.26475,0.0788,0.28214792131780825,0.27997896895111507,-0.0021689523666931776,2
0.2647525,0.0764,0.2790246175434878,0.27952187442733495,0.0004972568838471636,1
0.2647525,0.076415,0.2790427198557327,0.27952468738051717,0.0004819675247844657,1
0.2647525,0.07643,0.2790608380334314,0.2795275009057137,0.0004666628722823085,1
0.2647525,0.076445,0.2790789721069155,0.27953031500293485,0.0004513428960193355,1
0.2647525,0.07646,0.2790971221066183,0.2795331296721897,0.00043600756557138354,1
0.2647525,0.076475,0.2791152880630757,0.27953594491348965,0.0004206568504139807,1
0.2647525,0.07649,0.279133470006918,0.2795387607268432,0.0004052907199251776,1
0.2647525,0.07650499999999999,0.27915166796888224,0.27954157711226185,0.0003899091433796076,1
0.2647525,0.07651999999999999,0.2791698819798032,0.27954439406975445,0.00037451208995126217,1
